epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,493.155,1.45418,3.64837,1.63459,0.53804,0.24148,0.26039,0.20918,1.60505,3.10722,1.84016,0.00331439,0.00331439,0.00331439
2,978.439,1.45457,2.76673,1.60774,0.3306,0.43198,0.36675,0.26524,1.64578,2.84419,1.79692,0.00664115,0.00664115,0.00664115
3,1460.12,1.48648,2.55683,1.62985,0.40929,0.24931,0.16326,0.10651,1.89312,3.12444,2.05274,0.0099613,0.0099613,0.0099613
4,1940.44,1.56597,2.53757,1.68772,0.36025,0.41923,0.33733,0.22182,1.80437,2.90725,1.86043,0.0099703,0.0099703,0.0099703
5,2420.58,1.54795,2.39,1.67269,0.50389,0.40045,0.35763,0.25942,1.79942,2.77756,1.97596,0.0099604,0.0099604,0.0099604
6,2900.52,1.52004,2.30363,1.64839,0.5053,0.4387,0.44442,0.32372,1.63264,2.3116,1.73757,0.0099505,0.0099505,0.0099505
7,3380.27,1.48444,2.19573,1.61995,0.60237,0.40884,0.44675,0.32359,1.70131,2.50474,1.90311,0.0099406,0.0099406,0.0099406
8,3859.98,1.47541,2.11701,1.60464,0.635,0.42149,0.44743,0.33375,1.66465,2.48527,1.87383,0.0099307,0.0099307,0.0099307
9,4339.57,1.44355,2.08185,1.59638,0.51289,0.46348,0.46983,0.34799,1.63116,2.27128,1.7845,0.0099208,0.0099208,0.0099208
10,4819.03,1.41476,2.00689,1.56991,0.51642,0.51012,0.47423,0.34091,1.68109,2.26132,1.82454,0.0099109,0.0099109,0.0099109
11,5298.86,1.42623,1.96128,1.55741,0.59483,0.49228,0.5212,0.3858,1.56085,2.17557,1.68604,0.009901,0.009901,0.009901
12,5778.67,1.38576,1.91375,1.54832,0.56315,0.52809,0.53447,0.39202,1.52577,2.00497,1.69051,0.0098911,0.0098911,0.0098911
13,6258.12,1.37715,1.87499,1.53756,0.54659,0.53626,0.53141,0.39564,1.5093,2.026,1.67667,0.0098812,0.0098812,0.0098812
14,6737.8,1.36002,1.83852,1.52121,0.56679,0.52926,0.5437,0.41396,1.47151,1.93649,1.61923,0.0098713,0.0098713,0.0098713
15,7217.31,1.35741,1.81092,1.50307,0.54444,0.52075,0.53187,0.39644,1.56541,2.04148,1.71216,0.0098614,0.0098614,0.0098614
16,7696.95,1.34639,1.79995,1.50635,0.57544,0.58624,0.57965,0.43449,1.46254,1.84926,1.6114,0.0098515,0.0098515,0.0098515
17,8176.57,1.33742,1.74612,1.4958,0.57736,0.5476,0.56581,0.42249,1.48413,1.93979,1.64115,0.0098416,0.0098416,0.0098416
18,8656.15,1.3211,1.73081,1.48234,0.55056,0.54747,0.53675,0.40695,1.5143,1.96779,1.6856,0.0098317,0.0098317,0.0098317
19,9136.26,1.31137,1.69157,1.48048,0.5278,0.56493,0.54304,0.40531,1.45476,1.90762,1.59861,0.0098218,0.0098218,0.0098218
20,9616.2,1.31599,1.7371,1.48472,0.59614,0.54793,0.55925,0.42167,1.46016,1.93996,1.63746,0.0098119,0.0098119,0.0098119
21,10095.7,1.29104,1.67275,1.46211,0.56816,0.6091,0.58541,0.4501,1.43756,1.80072,1.5827,0.009802,0.009802,0.009802
22,10575.9,1.29127,1.65197,1.45861,0.59747,0.57842,0.58588,0.44461,1.42118,1.81315,1.57698,0.0097921,0.0097921,0.0097921
23,11055.3,1.27105,1.6429,1.44555,0.58531,0.5618,0.57283,0.44055,1.45657,1.82583,1.62063,0.0097822,0.0097822,0.0097822
24,11535.2,1.26791,1.61324,1.44397,0.59117,0.57733,0.58457,0.44208,1.41577,1.78044,1.56159,0.0097723,0.0097723,0.0097723
25,12014.9,1.25434,1.59057,1.43736,0.64197,0.56253,0.59983,0.45167,1.4218,1.71161,1.56007,0.0097624,0.0097624,0.0097624
26,12494.5,1.25737,1.57996,1.43733,0.66378,0.58642,0.61211,0.46134,1.3959,1.73167,1.54516,0.0097525,0.0097525,0.0097525
27,12974,1.25065,1.58607,1.44043,0.57906,0.59046,0.59252,0.45814,1.40638,1.77085,1.57308,0.0097426,0.0097426,0.0097426
28,13453.1,1.23217,1.54657,1.41759,0.63975,0.56803,0.59997,0.46061,1.43605,1.74629,1.60087,0.0097327,0.0097327,0.0097327
29,13932.6,1.23679,1.54296,1.41194,0.65518,0.58737,0.61707,0.47511,1.37754,1.65024,1.54163,0.0097228,0.0097228,0.0097228
30,14412.2,1.2416,1.54155,1.41651,0.64544,0.60482,0.61713,0.47297,1.37091,1.66185,1.51912,0.0097129,0.0097129,0.0097129
31,14891.5,1.21583,1.46864,1.39347,0.63777,0.61219,0.62638,0.46346,1.36608,1.60844,1.51008,0.009703,0.009703,0.009703
32,15370.7,1.21752,1.50108,1.39982,0.62105,0.59544,0.61783,0.47459,1.37116,1.64009,1.52841,0.0096931,0.0096931,0.0096931
33,15850.3,1.22088,1.48284,1.39843,0.63768,0.59612,0.62931,0.47797,1.36099,1.60633,1.51998,0.0096832,0.0096832,0.0096832
34,16329.6,1.20352,1.46643,1.38379,0.60926,0.61548,0.61767,0.48173,1.35501,1.67724,1.51974,0.0096733,0.0096733,0.0096733
35,16809.2,1.18472,1.44628,1.38205,0.61142,0.62349,0.61461,0.46573,1.38718,1.64452,1.53336,0.0096634,0.0096634,0.0096634
36,17288.5,1.18573,1.42781,1.37885,0.58312,0.6136,0.60414,0.46415,1.38214,1.77948,1.54948,0.0096535,0.0096535,0.0096535
37,17767.8,1.18162,1.41063,1.3775,0.65517,0.61837,0.63503,0.49101,1.34168,1.56256,1.50723,0.0096436,0.0096436,0.0096436
38,18247.3,1.19337,1.42177,1.3699,0.58456,0.64435,0.62142,0.48186,1.36309,1.59795,1.52961,0.0096337,0.0096337,0.0096337
39,18726.6,1.19498,1.45624,1.39223,0.63959,0.6091,0.62799,0.48879,1.3132,1.56426,1.47737,0.0096238,0.0096238,0.0096238
40,19206.3,1.17489,1.39307,1.36898,0.65769,0.61498,0.63919,0.48777,1.35249,1.57266,1.50394,0.0096139,0.0096139,0.0096139
41,19685.8,1.15678,1.36676,1.34723,0.65228,0.62432,0.64217,0.49279,1.33711,1.55189,1.48491,0.009604,0.009604,0.009604
42,20165,1.15882,1.3704,1.35722,0.63581,0.62489,0.62877,0.4792,1.35189,1.59594,1.52131,0.0095941,0.0095941,0.0095941
43,20644.4,1.16595,1.36082,1.35128,0.65536,0.60948,0.62994,0.49083,1.34007,1.58565,1.51645,0.0095842,0.0095842,0.0095842
44,21123.9,1.15738,1.37412,1.34612,0.65858,0.58714,0.61043,0.46603,1.42262,1.67268,1.56913,0.0095743,0.0095743,0.0095743
45,21603.4,1.15201,1.36297,1.34518,0.60225,0.63291,0.6317,0.49139,1.32781,1.5586,1.48552,0.0095644,0.0095644,0.0095644
46,22082.7,1.14519,1.32388,1.34607,0.64387,0.60685,0.62334,0.48062,1.35762,1.58904,1.50944,0.0095545,0.0095545,0.0095545
47,22562.1,1.14072,1.33316,1.34123,0.65815,0.63811,0.65623,0.50819,1.3166,1.53245,1.49454,0.0095446,0.0095446,0.0095446
48,23041.2,1.12209,1.30717,1.32154,0.65116,0.63806,0.64549,0.49529,1.33306,1.54332,1.49963,0.0095347,0.0095347,0.0095347
49,23520.6,1.12773,1.32095,1.33004,0.66523,0.63048,0.64722,0.50396,1.31082,1.51503,1.46981,0.0095248,0.0095248,0.0095248
50,23999.8,1.12956,1.30133,1.32747,0.67645,0.62011,0.63756,0.496,1.36133,1.55449,1.54138,0.0095149,0.0095149,0.0095149
51,24478.9,1.12157,1.29156,1.32795,0.64166,0.64742,0.65234,0.50732,1.32918,1.53124,1.4788,0.009505,0.009505,0.009505
52,24958.3,1.13213,1.29735,1.3342,0.66998,0.64077,0.65446,0.50386,1.33018,1.49669,1.47937,0.0094951,0.0094951,0.0094951
53,25437.7,1.12379,1.29318,1.32729,0.67295,0.6213,0.65068,0.5064,1.34167,1.53868,1.50481,0.0094852,0.0094852,0.0094852
54,25916.7,1.12709,1.27823,1.32394,0.66937,0.61634,0.64319,0.49683,1.34104,1.55595,1.49836,0.0094753,0.0094753,0.0094753
55,26396.3,1.1085,1.27449,1.31543,0.67933,0.64185,0.66373,0.50868,1.30846,1.47839,1.45595,0.0094654,0.0094654,0.0094654
56,26875.8,1.11627,1.27004,1.32449,0.63733,0.64506,0.65253,0.50743,1.32714,1.5466,1.48122,0.0094555,0.0094555,0.0094555
57,27355.1,1.09704,1.2319,1.31031,0.66742,0.64262,0.66701,0.51374,1.32915,1.48869,1.48716,0.0094456,0.0094456,0.0094456
58,27834.4,1.10689,1.2496,1.30426,0.69025,0.62132,0.65026,0.50514,1.34054,1.53823,1.51373,0.0094357,0.0094357,0.0094357
59,28313.7,1.09804,1.2392,1.30541,0.66471,0.6493,0.66626,0.51956,1.30311,1.45592,1.46167,0.0094258,0.0094258,0.0094258
60,28793.1,1.09824,1.22475,1.30619,0.65102,0.65001,0.65787,0.50843,1.32159,1.51032,1.50463,0.0094159,0.0094159,0.0094159
61,29272.4,1.07628,1.18868,1.2844,0.64453,0.63251,0.6412,0.50518,1.32326,1.57247,1.48188,0.009406,0.009406,0.009406
